"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Co2-Emissions,CPI,CPI Change (%),Fertility Rate,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Economic_Class_Encoded
0.002202392253654832,0.701219512195122,0.038146031404401856,0.1065654899373144,0.6617720258835241,0.049066666666666675,0.00087546511295279,0.011343061266355686,0.025462962962962965,0.5885328836424958,0.0008892286342042534,0.6767422334172963,0.06553755522827687,0.5595667870036101,0.3588957055214723,0.554006968641115,0.03092783505154639,0.03210463733650416,0.02721652178950088,0.2233606557377048,0.25,0.2996219281663516,0.3926664293342827,0.011616417078355798,0.7069442314869903,0.687612364142897,1.0
0.003911144864249099,0.5182926829268293,0.0016813426411139392,0.0029693170570768723,0.14634146341463414,0.18880000000000002,0.0004573928687347159,0.004464086623794786,0.02199074074074074,0.1079258010118044,0.0007108014198734825,0.7019311502938708,0.3991163475699559,0.07701564380264742,0.7883435582822087,0.01132404181184669,0.08173784977908691,0.14149821640903684,0.002041443861335872,0.36270491803278704,0.5,0.13516068052930058,0.4357422570309719,0.0020667577429562714,0.775090614708692,0.5530339193991617,1.0
0.0006075564837668502,0.2048780487804878,0.1392974364612966,0.1045859452325965,0.4574415131906421,0.11306666666666668,0.01516168913720745,0.011668614037121935,0.024305555555555556,0.34401349072512655,0.007930918383266282,0.7262804366078925,0.3726067746686304,0.22503008423586043,0.7331288343558282,0.09581881533101046,0.06921944035346098,0.20332936979785968,0.030801875740310524,0.06557377049180335,1.0,0.27457466918714557,0.413314346742613,0.03737521755967491,0.6511627961896027,0.5006404033950045,0.0
0.006151509398139359,0.48048780487804876,2.7371238209312772e-05,0.010227647641042559,0.03235440517670482,0.2,4.6295234006740305e-05,0.005866639314287752,0.025462962962962965,0.048903878583473864,0.00014498958721047555,0.696893366918556,0.22385861561119294,0.01564380264741276,0.6257668711656441,0.04442508710801394,0.48748159057437407,0.3947681331747919,5.4593422579067466e-05,0.5010245901639345,0.43817204301075263,0.13799621928166353,0.1876112495550018,7.403830828839767e-05,0.7878707666944433,0.5002502552812778,0.5
0.0009113347256502753,0.5719512195121952,0.07291393734091929,0.03860112174199934,0.8668491786958684,0.12960000000000002,0.0035057015410955615,0.036279065618951625,0.08256172839506175,0.7655986509274874,0.00441430265859354,0.7565071368597818,0.0625920471281296,0.6040914560770156,0.24539877300613488,0.2081881533101045,0.051546391752577324,0.023781212841854936,0.022768932174890663,0.8094262295081969,0.2473118279569892,0.194234404536862,0.24207903168387326,0.024979059374499877,0.2805294998069591,0.546538922129788,0.0
0.008391873932029618,0.2426829268292683,2.590909941608025e-05,0.0,0.23469387755102042,0.0,5.5190388139039753e-05,0.0032956643506337133,0.021219135802469136,0.17032040472175378,7.842612615062376e-05,0.6851385390428211,0.17673048600883653,0.043321299638989175,0.7392638036809815,0.03484320557491289,0.22312223858615612,0.3269916765755053,6.88853289748876e-05,0.5010245901639345,0.44354838709677413,0.16540642722117202,0.1876112495550018,2.1752734714160775e-05,0.5475098959408222,0.32101218084730765,0.5
0.0005695842035314221,0.6548780487804878,0.16261322802814793,0.03464203233256351,0.2767546042807366,0.02826666666666667,0.02035140508562243,0.02981706610059134,0.22299382716049382,0.21585160202360873,0.020982987786254743,0.7246011754827877,0.6568483063328425,0.08904933814681108,0.7269938650306749,0.032229965156794424,0.2459499263622975,0.469678953626635,0.0321509770434007,0.4774590163934427,0.271505376344086,0.4645557655954631,0.3453186187255251,0.049036314584300605,0.0234684992032389,0.31585952521065064,0.0
0.0038731725840136697,0.7109756097560975,0.0017395357650845935,0.016166281755196302,0.20134395221503235,0.19893333333333335,0.0005200632728486438,0.006722887697672968,0.02199074074074074,0.1315345699831366,0.0006358853612021508,0.5818639798488665,0.39617083946980863,0.11552346570397112,0.6779141104294482,0.020905923344947737,0.04786450662739323,0.5219976218787158,0.0021155219544587802,0.360655737704918,0.5618279569892473,0.06899810964083176,0.6016375934496262,0.0022117937694876703,0.7648488232141115,0.623434269026222,0.5
3.797228023542813e-05,0.5804878048780489,0.45274952275789787,0.019135598812273176,0.16674962667994023,0.03200000000000001,0.037996156282601876,0.00463132263617471,0.022762345679012346,0.1281618887015177,0.06499234122883248,0.6456759026028547,0.8269513991163476,0.02045728038507822,0.9171779141104293,0.0034843205574912896,1.0,0.4363852556480381,0.018434219001017438,0.5635245901639345,0.618279569892473,0.18620037807183365,0.1844072623709505,0.025908831000277795,0.1476065221582094,0.874626378512248,0.0
0.0040630339851908115,0.3878048780487805,0.004905241709088187,0.0069284064665127015,0.0945744151319064,0.0224,0.006210131641205468,0.004243335087453285,0.022376543209876545,0.08263069139966273,0.020826708072913102,0.669185558354324,0.6207658321060383,0.018050541516245487,0.8834355828220857,0.0026132404181184667,0.07621502209131074,0.6135552913198573,0.006350533770508459,0.4651639344262295,0.682795698924731,0.2051039697542533,0.16304734781060876,0.006155862581834314,0.8351953014864182,0.5371300329396822,0.0
